Trip,Date,Price,Item,Paid with
el valle,18-Nov,50.00,guide,cash
el valle,18-Nov,40.00,hotel,cash
el valle,18-Nov,20.00,food,cash
el valle,18-Nov,6.50,booze,cash
el valle,19-Nov,12.00,baggage fee,cash
el valle,19-Nov,100.00,boat to nuqui,cash
quibdo,19-Nov,7.50,taxi,cash
quibdo,19-Nov,7.00,bus to salero,cash
quibdo,19-Nov,5.50,lunch,cash
quibdo,19-Nov,0.50,bathroom,cash
quibdo,20-Nov,44.00,mile's transportation,cash
quibdo,21-Nov,5.00,bus to quibdo,cash
quibdo,21-Nov,6.00,taxi,cash
quibdo,21-Nov,9.50,baggage fee,cash
quibdo,21-Nov,1.50,taxi,cash
quibdo,21-Nov,43.00,termales hotel,cash
quibdo,21-Nov,4.50,lunch,cash
medellin,21-Nov,2.50,bus to medellin,cash
medellin,21-Nov,5.00,dinner,cash
medellin,21-Nov,2.75,bus to rio negro,cash
medellin,21-Nov,11.00,taxi home,cash
medellin,21-Nov,7.50,cell phone,cash
cali,23-Nov,10.00,taxi to airport,cash
cali,23-Nov,2.50,bus,cash
cali,23-Nov,4.50,taxi,cash
la barra,24-Nov,8.50,taxi,cash
la barra,24-Nov,55.00,boat,cash
la barra,24-Nov,10.00,boat to la barra,cash
la barra,24-Nov,10.00,lunch,cash
la barra,24-Nov,6.00,dinner,cash
la barra,24-Nov,15.00,hotel,cash
la barra,24-Nov,10.00,guide,cash
la barra,25-Nov,20.00,guide,cash
la barra,25-Nov,23.5,lunch,cash
la barra,25-Nov,15.00,hotel,cash
la barra,25-Nov,6.00,breakfast,cash
la barra,26-Nov,6.00,breakfast,cash
la barra,26-Nov,15.00,boat to ladrilleros,cash
la barra,26-Nov,22.00,guide,cash
la barra,26-Nov,25.00,hotel,cash
la barra,26-Nov,10.00,lunch,cash
ladrilleros,27-Nov,5.00,breakfast,cash
ladrilleros,27-Nov,3.00,giro fee,cash
ladrilleros,27-Nov,3.50,water,cash
ladrilleros,27-Nov,11.00,lunch,cash
ladrilleros,27-Nov,7.50,cell phone,cash
ladrilleros,27-Nov,19.00,bus to los tubos,cash
ladrilleros,27-Nov,2.90,snack,cash
ladrilleros,27-Nov,2.50,dinner,cash
cartagena,2-Dec,6.75,laundry,cash
bogota,7-Dec,5.95,dinner,cash
bogota,7-Dec,7.50,cell phone,cash
altaquer,8-Dec,9.00,taxi to mile,cash
altaquer,8-Dec,13.50,taxi to airport,cash
altaquer,8-Dec,15.00,taxi to house,cash
altaquer,8-Dec,30.00,bus to altaquer,cash
altaquer,8-Dec,5.00,donuts,cash
altaquer,8-Dec,5.00,dinner,cash
altaquer,8-Dec,10.00,hotel,cash
altaquer,8-Dec,10.00,compras,cash
altaquer,9-Dec,15.00,taxi to llorente,cash
altaquer,9-Dec,7.00,taxi to maragricola,cash
altaquer,9-Dec,3.00,taxi to tumaco,cash
altaquer,9-Dec,30.00,bus to altaquer,cash
altaquer,9-Dec,5.00,dinner,cash
altaquer,9-Dec,10.00,hotel,cash
altaquer,10-Dec,5.00,compras,cash
altaquer,10-Dec,10.00,taxi to nutria,cash
altaquer,10-Dec,5.00,breakfast,cash
altaquer,10-Dec,5.00,taxi to altaquer,cash
altaquer,10-Dec,10.00,guide,cash
altaquer,10-Dec,2.50,lunch,cash
altaquer,10-Dec,5.00,dinner,cash
altaquer,10-Dec,10.00,hotel,cash
altaquer,11-Dec,5.00,breakfast,cash
altaquer,11-Dec,5.00,lunch,cash
altaquer,11-Dec,5.00,dinner,cash
altaquer,11-Dec,10.00,hotel,cash
altaquer,11-Dec,1.50,internet,cash
altaquer,12-Dec,5.00,breakfast,cash
altaquer,12-Dec,60.00,paid field trip,cash
altaquer,12-Dec,5.00,lunch,cash
altaquer,12-Dec,15.00,bus to pasto,cash
altaquer,12-Dec,4.00,taxi,cash
altaquer,12-Dec,30.00,cristian's fee,cash
