"day","year","Adoxophyes_honmai"
84,1979,0
89,1979,5
95,1979,35
100,1979,40
105,1979,170
110,1979,20
115,1979,134
120,1979,58
125,1979,13
130,1979,47
135,1979,9
140,1979,3
145,1979,3
150,1979,0
156,1979,12
161,1979,141
166,1979,217
171,1979,131
176,1979,292
181,1979,22
186,1979,22
191,1979,7
196,1979,41
201,1979,321
206,1979,697
211,1979,968
217,1979,313
222,1979,70
227,1979,25
232,1979,33
237,1979,237
242,1979,2689
248,1979,320
253,1979,302
258,1979,40
263,1979,53
268,1979,75
273,1979,54
278,1979,225
283,1979,591
288,1979,4212
293,1979,798
298,1979,208
303,1979,436
309,1979,72
314,1979,8
319,1979,3
324,1979,7
329,1979,1
334,1979,1
64,1980,2
69,1980,0
74,1980,2
79,1980,6
84,1980,9
89,1980,15
95,1980,13
100,1980,229
105,1980,105
110,1980,14
115,1980,6
120,1980,119
125,1980,148
130,1980,6
135,1980,41
140,1980,1
145,1980,1
150,1980,0
156,1980,32
161,1980,133
166,1980,135
171,1980,750
176,1980,249
181,1980,65
186,1980,21
191,1980,20
196,1980,138
201,1980,374
206,1980,566
211,1980,292
217,1980,184
222,1980,30
227,1980,48
232,1980,16
237,1980,198
242,1980,724
248,1980,1269
253,1980,111
258,1980,49
263,1980,69
268,1980,26
273,1980,29
278,1980,39
283,1980,369
288,1980,376
293,1980,89
298,1980,22
303,1980,1
309,1980,58
314,1980,33
319,1980,14
324,1980,20
329,1980,12
334,1980,6
64,1981,0
69,1981,0
74,1981,0
79,1981,0
84,1981,0
89,1981,3
95,1981,37
100,1981,36
105,1981,88
110,1981,14
115,1981,94
120,1981,353
125,1981,141
130,1981,106
135,1981,12
140,1981,0
145,1981,1
150,1981,0
156,1981,2
161,1981,93
166,1981,130
171,1981,806
176,1981,2635
181,1981,208
186,1981,147
191,1981,4
196,1981,1
201,1981,2
206,1981,64
211,1981,880
217,1981,1407
222,1981,238
227,1981,24
232,1981,27
237,1981,26
242,1981,14
248,1981,30
253,1981,50
258,1981,111
263,1981,95
268,1981,40
273,1981,46
278,1981,28
283,1981,21
288,1981,52
293,1981,23
298,1981,1
303,1981,13
309,1981,8
314,1981,2
319,1981,9
324,1981,7
329,1981,15
334,1981,9
64,1982,0
69,1982,0
74,1982,0
79,1982,0
84,1982,16
89,1982,1
95,1982,8
100,1982,3
105,1982,38
110,1982,7
115,1982,33
120,1982,111
125,1982,67
130,1982,56
135,1982,13
140,1982,9
145,1982,0
150,1982,4
156,1982,29
161,1982,415
166,1982,127
171,1982,156
176,1982,357
181,1982,116
186,1982,60
191,1982,23
196,1982,17
201,1982,44
206,1982,36
211,1982,225
217,1982,151
222,1982,45
227,1982,27
232,1982,61
237,1982,27
242,1982,123
248,1982,155
253,1982,282
258,1982,89
